Date,Open,High,Low,Close*,Adj Close**,Volume
31/10/2023,81.48,83.42,80.30,80.44,80.44,"321,592"
30/10/2023,82.59,83.37,80.74,81.02,81.02,"346,007"
29/10/2023,85.00,85.30,81.82,82.31,82.31,"356,928"
26/10/2023,83.53,85.90,83.10,85.54,85.54,"333,760"
25/10/2023,85.37,85.59,82.56,83.21,83.21,"341,792"
24/10/2023,83.69,85.56,82.08,85.39,85.39,"429,459"
23/10/2023,86.15,86.30,82.94,83.74,83.74,"370,591"
22/10/2023,88.00,88.29,85.35,85.49,85.49,"315,517"
19/10/2023,90.28,90.78,88.33,88.75,88.75,"311,917"
18/10/2023,88.24,90.68,86.60,89.37,89.37,"72,058"
17/10/2023,87.81,89.88,87.20,88.32,88.32,"92,797"
16/10/2023,87.06,87.75,85.60,86.66,86.66,"197,124"
15/10/2023,87.72,88.33,86.32,86.66,86.66,"235,780"
12/10/2023,83.51,87.83,83.35,87.69,87.69,"356,863"
11/10/2023,83.20,85.20,82.31,82.91,82.91,"373,492"
10/10/2023,85.96,86.51,83.11,83.49,83.49,"425,395"
09/10/2023,86.43,86.74,85.12,85.97,85.97,"337,654"
08/10/2023,85.25,87.24,84.67,86.38,86.38,"435,037"
05/10/2023,82.28,83.28,81.50,82.79,82.79,"461,139"
04/10/2023,84.45,84.92,82.15,82.31,82.31,"465,997"
03/10/2023,89.42,89.59,84.16,84.22,84.22,"459,995"
02/10/2023,88.67,90.27,87.76,89.23,89.23,"350,659"
01/10/2023,90.82,91.88,88.46,88.82,88.82,"334,493"
28/09/2023,91.76,93.10,90.35,90.79,90.79,"355,782"
27/09/2023,93.78,95.03,91.39,91.71,91.71,"406,709"
26/09/2023,90.53,94.17,90.40,93.68,93.68,"504,630"
25/09/2023,89.88,90.74,88.19,90.39,90.39,"318,016"
24/09/2023,90.55,90.83,89.03,89.68,89.68,"328,369"
21/09/2023,89.62,91.33,89.31,90.03,90.03,"402,087"
20/09/2023,89.30,90.98,88.37,89.63,89.63,"351,032"
19/09/2023,91.55,91.98,89.87,90.28,90.28,"457,854"
18/09/2023,92.22,93.74,91.07,91.20,91.20,"94,597"
17/09/2023,91.20,92.43,90.75,91.48,91.48,"119,258"
14/09/2023,90.67,91.23,89.22,90.77,90.77,"315,003"
13/09/2023,88.81,90.79,88.68,90.16,90.16,"325,270"
12/09/2023,88.75,89.64,88.29,88.52,88.52,"345,972"
11/09/2023,87.27,89.37,87.22,88.84,88.84,"341,137"
10/09/2023,87.40,88.15,86.71,87.29,87.29,"292,388"
07/09/2023,86.78,87.95,86.15,87.51,87.51,"294,437"
06/09/2023,87.54,87.74,86.39,86.87,86.87,"270,736"
05/09/2023,86.72,88.08,85.93,87.54,87.54,"307,115"
04/09/2023,86.06,88.07,85.02,86.69,86.69,"452,908"
31/08/2023,83.63,86.06,83.46,85.55,85.55,"420,461"
30/08/2023,81.70,83.69,81.48,83.63,83.63,"368,848"
29/08/2023,81.29,82.05,80.88,81.63,81.63,"299,418"
28/08/2023,79.98,81.41,79.34,81.16,81.16,"284,168"
27/08/2023,80.15,80.87,79.61,80.10,80.10,"246,584"
24/08/2023,78.88,80.45,78.14,79.83,79.83,"411,409"
23/08/2023,78.57,79.28,77.59,79.05,79.05,"349,230"
22/08/2023,79.64,79.91,77.62,78.89,78.89,"378,146"
21/08/2023,80.80,80.99,80.10,80.35,80.35,"287,489"
20/08/2023,81.43,82.47,80.61,80.72,80.72,"115,874"
17/08/2023,80.04,81.61,79.59,81.25,81.25,"128,090"
16/08/2023,79.25,81.08,78.95,80.39,80.39,"235,581"
15/08/2023,81.23,81.43,79.05,79.38,79.38,"325,403"
14/08/2023,82.52,82.91,80.40,80.99,80.99,"303,207"
13/08/2023,83.09,83.20,81.76,82.51,82.51,"277,352"
10/08/2023,82.83,83.81,82.23,83.19,83.19,"331,254"
09/08/2023,84.25,84.89,82.58,82.82,82.82,"362,188"
08/08/2023,82.88,84.65,82.67,84.40,84.40,"478,140"
07/08/2023,82.53,83.08,79.90,82.92,82.92,"424,545"
06/08/2023,82.82,83.30,81.52,81.94,81.94,"293,036"
03/08/2023,81.73,83.24,81.51,82.82,82.82,"320,873"
02/08/2023,79.77,81.86,78.69,81.55,81.55,"402,641"
01/08/2023,82.05,82.43,79.05,79.49,79.49,"414,825"
31/07/2023,81.73,82.22,80.59,81.37,81.37,"307,859"
30/07/2023,80.65,82.00,80.13,81.80,81.80,"297,270"
27/07/2023,79.84,80.71,79.07,80.58,80.58,"299,547"
26/07/2023,78.90,80.60,78.87,80.09,80.09,"374,358"
25/07/2023,79.34,79.77,78.55,78.78,78.78,"322,031"
24/07/2023,78.85,79.90,78.29,79.63,79.63,"349,600"
23/07/2023,77.01,79.28,76.44,78.74,78.74,"368,285"
20/07/2023,75.70,77.29,75.69,77.07,77.07,"308,106"
