,,,,,,
Date,Open,High,Low,Close*,Adj Close**,Volume
15/10/2023,81.84,82.55,81.08,81.32,81.32,"7,191"
12/10/2023,78.73,82.30,78.73,82.14,82.14,"12,693"
11/10/2023,78.71,79.93,78.17,78.44,78.44,"20,680"
10/10/2023,79.71,80.08,77.99,78.60,78.60,"15,772"
09/10/2023,79.34,79.69,78.87,79.53,79.53,"14,197"
08/10/2023,78.30,80.52,78.25,79.60,79.60,"14,886"
05/10/2023,77.19,77.34,76.34,76.94,76.94,"15,451"
04/10/2023,78.13,78.47,76.26,76.60,76.60,"15,678"
03/10/2023,82.39,82.44,77.69,77.78,77.78,"16,242"
02/10/2023,82.00,82.64,81.54,82.16,82.16,"21,963"
01/10/2023,83.01,83.83,81.98,82.15,82.15,"14,807"
28/09/2023,83.64,84.62,82.69,82.78,82.78,"18,033"
27/09/2023,84.54,85.08,83.31,83.42,83.42,"18,897"
26/09/2023,83.78,84.90,83.62,84.60,84.60,"24,854"
25/09/2023,82.82,83.72,82.00,83.40,83.40,"10,763"
24/09/2023,83.40,83.58,82.51,83.08,83.08,"13,283"
21/09/2023,83.75,84.51,83.05,83.13,83.13,"20,305"
20/09/2023,83.53,84.66,82.87,83.81,83.81,"15,427"
19/09/2023,84.12,84.79,83.48,83.80,83.80,"14,668"
18/09/2023,84.74,85.62,84.49,84.55,84.55,"14,657"
17/09/2023,84.99,85.48,84.36,84.74,84.74,"14,964"
14/09/2023,85.65,85.75,84.36,84.93,84.93,"17,270"
13/09/2023,83.96,85.39,83.96,85.17,85.17,"9,199"
12/09/2023,84.08,84.41,83.57,83.79,83.79,"8,247"
11/09/2023,83.19,84.27,83.07,84.01,84.01,"12,056"
10/09/2023,82.53,83.48,82.37,82.90,82.90,"5,780"
07/09/2023,81.93,83.00,81.87,82.81,82.81,"6,193"
06/09/2023,82.82,82.82,81.91,82.28,82.28,"5,746"
05/09/2023,82.19,83.08,81.70,82.72,82.72,"10,708"
04/09/2023,81.21,83.07,80.94,82.22,82.22,"15,741"
31/08/2023,79.87,81.33,79.87,81.12,81.12,"10,386"
30/08/2023,78.45,79.85,78.44,79.81,79.81,"10,123"
29/08/2023,78.52,78.96,78.12,78.54,78.54,"6,054"
28/08/2023,77.43,78.41,77.04,78.31,78.31,"4,046"
27/08/2023,77.64,78.23,77.29,77.51,77.51,"2,385"
24/08/2023,77.02,77.82,76.02,77.52,77.52,"5,698"
23/08/2023,76.59,77.21,75.84,76.76,76.76,"4,981"
22/08/2023,77.73,77.76,75.83,76.95,76.95,"4,001"
21/08/2023,77.89,78.32,77.49,77.63,77.63,"3,866"
20/08/2023,78.04,79.05,77.84,77.92,77.92,"2,425"
17/08/2023,77.52,78.27,76.75,78.13,78.13,"3,024"
16/08/2023,76.95,78.04,76.81,77.54,77.54,"8,437"
15/08/2023,77.61,78.26,76.84,77.02,77.02,"5,133"
14/08/2023,79.23,79.28,77.41,77.85,77.85,"3,543"
13/08/2023,78.75,79.04,78.45,78.93,78.93,"3,897"
10/08/2023,79.33,79.93,79.13,79.49,79.49,"3,705"
09/08/2023,80.11,80.32,79.38,79.42,79.42,"4,677"
08/08/2023,79.27,80.34,79.27,80.32,80.32,"5,821"
07/08/2023,78.75,79.52,77.28,79.41,79.41,"3,875"
06/08/2023,79.25,79.25,78.38,78.69,78.69,"4,744"
03/08/2023,78.12,79.23,78.12,79.18,79.18,"3,058"
02/08/2023,76.64,78.35,76.20,78.22,78.22,"4,681"
01/08/2023,78.68,78.68,76.25,76.59,76.59,"2,969"
31/07/2023,78.18,78.22,77.68,78.04,78.04,"5,527"
30/07/2023,77.51,78.40,77.13,78.37,78.37,"2,549"
27/07/2023,76.64,77.48,76.61,77.48,77.48,"3,116"
26/07/2023,76.36,77.18,76.36,76.89,76.89,"2,316"
25/07/2023,76.06,76.19,75.89,75.92,75.92,"3,042"
24/07/2023,75.91,76.53,75.62,76.41,76.41,"2,613"
23/07/2023,74.11,76.16,74.01,75.87,75.87,"3,606"
20/07/2023,74.02,74.63,73.76,74.53,74.53,"2,680"
19/07/2023,73.42,74.06,73.22,73.53,73.53,"2,352"
18/07/2023,73.30,74.27,73.05,73.32,73.32,"4,182"
17/07/2023,72.14,73.45,72.10,73.40,73.40,"1,962"
16/07/2023,72.55,73.27,71.99,72.11,72.11,"2,141"
13/07/2023,74.12,74.19,72.80,72.91,72.91,"1,830"
12/07/2023,73.18,74.33,73.05,74.09,74.09,"2,695"
11/07/2023,72.43,73.16,72.43,73.03,73.03,"1,945"
10/07/2023,71.14,72.37,71.02,72.36,72.36,"2,661"
09/07/2023,70.72,71.36,70.59,70.85,70.85,"1,654"
06/07/2023,70.13,71.15,69.73,71.15,71.15,"3,708"
05/07/2023,70.08,70.17,68.63,69.82,69.82,"2,239"
04/07/2023,69.53,70.41,69.16,70.17,70.17,"4,535"
03/07/2023,69.24,70.02,68.44,68.44,68.44,"1,134"
29/06/2023,69.03,69.74,68.87,69.52,69.52,"4,354"
28/06/2023,68.57,69.45,68.46,69.08,69.08,"3,387"
27/06/2023,67.77,69.03,67.27,68.95,68.95,"1,771"
26/06/2023,69.02,69.08,67.43,67.50,67.50,"4,065"
25/06/2023,68.31,68.83,68.04,68.50,68.50,"2,211"
22/06/2023,67.70,68.33,67.00,68.18,68.18,"2,411"
21/06/2023,70.20,70.20,68.18,68.34,68.34,"4,139"
20/06/2023,69.14,70.57,69.14,70.53,70.53,"1,579"
19/06/2023,69.23,69.89,68.30,69.32,69.32,"1,427"
15/06/2023,68.85,70.02,68.63,70.02,70.02,"1,086"
14/06/2023,67.14,69.20,67.12,69.13,69.13,"1,469"
13/06/2023,67.92,68.51,66.83,66.95,66.95,"1,772"
12/06/2023,66.25,68.02,66.21,67.87,67.87,"2,512"
11/06/2023,67.42,67.46,65.41,65.73,65.73,"3,370"
08/06/2023,68.51,69.31,68.03,68.09,68.09,"1,455"
07/06/2023,69.87,70.07,67.61,68.83,68.83,"3,764"
06/06/2023,69.68,70.22,69.58,69.83,69.83,692
05/06/2023,68.22,69.37,68.15,69.06,69.06,"2,082"
04/06/2023,70.60,70.75,69.13,69.40,69.40,"3,111"
01/06/2023,68.21,69.57,68.21,69.25,69.25,"1,719"
31/05/2023,66.64,68.52,66.08,67.89,67.89,"1,073"
30/05/2023,65.64,67.12,65.64,66.23,66.23,"1,709"
29/05/2023,70.43,70.43,67.16,67.43,67.43,830
25/05/2023,69.44,70.12,69.10,69.96,69.96,523
24/05/2023,70.80,70.80,68.65,69.16,69.16,"1,909"
23/05/2023,70.49,71.11,70.24,71.10,71.10,"2,106"
22/05/2023,69.85,70.19,69.71,69.83,69.83,991
21/05/2023,67.91,69.06,67.91,69.04,69.04,511
18/05/2023,69.90,70.38,68.79,68.79,68.79,"1,127"
17/05/2023,69.78,69.79,69.26,69.37,69.37,459
16/05/2023,67.60,69.99,67.60,69.99,69.99,933
15/05/2023,68.02,68.30,67.93,68.00,68.00,294
14/05/2023,67.12,68.32,67.11,68.21,68.21,839
11/05/2023,67.81,68.40,67.19,67.19,67.19,362
10/05/2023,70.04,70.04,68.00,68.01,68.01,"1,649"
09/05/2023,69.75,70.11,69.48,69.52,69.52,"1,727"
08/05/2023,68.99,70.29,68.99,70.29,70.29,986
07/05/2023,67.98,69.65,67.98,69.65,69.65,936
04/05/2023,67.48,68.19,67.48,68.10,68.10,"1,432"
03/05/2023,66.77,66.77,65.71,65.81,65.81,"1,221"
02/05/2023,68.22,68.22,66.08,66.20,66.20,"1,832"
01/05/2023,71.37,71.58,68.24,68.33,68.33,"1,136"
30/04/2023,72.02,72.02,70.91,71.48,71.48,867
27/04/2023,70.32,72.51,70.32,72.49,72.49,"1,370"
26/04/2023,70.69,71.07,70.55,70.71,70.71,603
25/04/2023,73.04,73.04,70.56,70.58,70.58,"1,103"
24/04/2023,74.25,74.33,72.38,72.45,72.45,943
23/04/2023,73.39,74.59,72.61,74.38,74.38,479
20/04/2023,72.10,73.52,72.10,73.52,73.52,405
19/04/2023,73.39,73.39,72.46,72.60,72.60,522
18/04/2023,75.13,75.13,74.08,74.08,74.08,868
17/04/2023,75.42,75.94,75.05,75.49,75.49,631
16/04/2023,76.06,76.06,75.33,75.33,75.33,775
13/04/2023,76.31,76.41,76.04,76.32,76.32,"2,381"
12/04/2023,76.42,76.59,76.01,76.01,76.01,580
11/04/2023,75.31,76.53,75.31,76.47,76.47,704
10/04/2023,74.53,75.26,74.52,75.26,75.26,"2,159"
09/04/2023,74.19,74.19,73.96,73.96,73.96,"2,058"
05/04/2023,74.40,74.86,74.29,74.44,74.44,-
04/04/2023,74.99,74.99,74.10,74.61,74.61,"2,264"
03/04/2023,74.76,75.00,74.17,74.64,74.64,"1,617"
02/04/2023,75.86,75.86,74.16,74.59,74.59,"2,090"
30/03/2023,71.02,71.89,70.73,71.89,71.89,688
29/03/2023,70.00,70.92,70.00,70.92,70.92,302
28/03/2023,70.54,70.64,69.99,69.99,69.99,"1,141"
27/03/2023,69.88,70.73,69.88,70.34,70.34,534
26/03/2023,68.12,70.05,68.12,70.05,70.05,"1,030"
23/03/2023,67.14,67.14,67.14,67.14,67.14,664
22/03/2023,67.63,67.63,67.63,67.63,67.63,244
21/03/2023,68.10,68.10,68.10,68.10,68.10,"1,124"
20/03/2023,67.28,67.28,67.28,67.28,67.28,513
19/03/2023,66.24,66.24,66.24,66.24,66.24,821
16/03/2023,65.00,65.57,65.00,65.57,65.57,613
15/03/2023,66.58,66.58,66.58,66.58,66.58,"1,667"
14/03/2023,67.20,67.40,65.51,65.77,65.77,"2,001"
13/03/2023,69.88,70.70,68.26,68.82,68.82,538
12/03/2023,73.09,73.09,71.37,71.37,71.37,727
10/03/2023,72.81,72.81,72.81,72.81,72.81,418
09/03/2023,72.07,72.07,72.07,72.07,72.07,329
08/03/2023,73.67,73.73,72.90,72.90,72.90,816
07/03/2023,75.39,75.69,73.52,73.67,73.67,"2,193"
06/03/2023,75.12,76.27,75.12,75.94,75.94,619
03/03/2023,73.23,75.50,73.22,75.42,75.42,"1,879"
02/03/2023,73.77,74.25,73.46,74.10,74.10,384
01/03/2023,72.83,73.79,72.74,73.43,73.43,"1,128"
28/02/2023,73.36,73.37,72.77,72.82,72.82,"1,169"
27/02/2023,72.97,72.97,72.11,72.11,72.11,"1,845"
24/02/2023,72.96,72.96,72.96,72.96,72.96,798
23/02/2023,72.31,72.75,72.06,72.57,72.57,933
22/02/2023,71.90,71.99,71.13,71.52,71.52,289
21/02/2023,72.56,73.07,72.56,73.02,73.02,630
17/02/2023,72.30,73.03,72.02,73.03,73.03,397
16/02/2023,74.27,75.10,74.12,74.77,74.77,187
15/02/2023,74.02,74.90,73.55,74.90,74.90,351
14/02/2023,74.37,75.15,74.37,75.15,75.15,547
