,,,,,,
Date,Open,High,Low,Close*,Adj Close**,Volume
01/11/2023,76.66,76.72,74.24,74.75,74.75,"4,143,000"
31/10/2023,76.21,77.02,74.56,75.02,75.02,"4,604,000"
30/10/2023,77.24,77.58,75.36,76.05,76.05,"5,929,500"
27/10/2023,77.62,78.98,76.58,78.36,78.36,"5,522,600"
26/10/2023,76.83,77.59,76.49,76.89,76.89,"3,518,500"
25/10/2023,77.11,78.73,75.64,78.46,78.46,"6,116,800"
24/10/2023,78.04,78.22,76.31,76.93,76.93,"6,629,600"
23/10/2023,80.22,80.27,78.35,78.89,78.89,"4,607,100"
20/10/2023,81.59,81.98,80.17,80.70,80.70,"4,660,500"
19/10/2023,79.37,81.75,78.94,81.68,81.68,"5,924,400"
18/10/2023,79.72,80.36,79.32,79.84,79.84,"4,647,300"
17/10/2023,77.98,78.88,77.40,78.80,78.80,"3,914,400"
16/10/2023,78.63,78.89,77.87,78.39,78.39,"5,156,200"
13/10/2023,77.71,79.18,77.16,78.99,78.99,"6,765,100"
12/10/2023,76.58,76.61,74.62,75.42,75.42,"4,244,100"
11/10/2023,76.19,76.40,74.76,75.67,75.67,"6,048,300"
10/10/2023,77.19,77.19,76.19,76.71,76.71,"4,237,600"
09/10/2023,76.76,77.40,76.23,77.13,77.13,"6,892,100"
06/10/2023,74.43,74.57,73.34,74.16,74.16,"3,894,400"
05/10/2023,74.11,75.45,73.61,73.99,73.99,"5,599,100"
04/10/2023,77.97,77.97,75.22,75.59,75.59,"7,853,800"
03/10/2023,79.81,80.37,79.25,79.93,79.93,"2,899,300"
02/10/2023,81.18,81.28,79.19,79.39,79.39,"3,492,100"
29/09/2023,81.90,81.94,80.47,80.86,80.86,"2,398,100"
28/09/2023,82.32,82.61,81.22,81.57,81.57,"3,169,000"
27/09/2023,82.24,83.29,82.05,82.90,82.90,"4,257,900"
26/09/2023,79.97,81.05,79.89,80.88,80.88,"2,522,700"
25/09/2023,80.59,80.65,79.67,80.39,80.39,"1,918,300"
22/09/2023,81.55,81.60,79.99,80.63,80.63,"2,704,300"
21/09/2023,81.25,81.51,80.40,80.41,80.41,"3,095,900"
20/09/2023,80.56,81.59,80.13,80.14,80.14,"4,117,600"
19/09/2023,82.18,82.28,81.12,81.50,81.50,"6,657,100"
18/09/2023,81.79,81.94,80.80,81.45,81.45,"5,940,800"
15/09/2023,80.29,81.34,80.09,81.29,81.29,"2,873,800"
14/09/2023,80.66,81.14,80.53,81.12,81.12,"3,098,900"
13/09/2023,79.86,80.04,79.23,79.68,79.68,"2,783,800"
12/09/2023,79.36,80.01,79.31,79.70,79.70,"3,308,800"
11/09/2023,78.93,79.12,78.14,78.37,78.37,"2,083,800"
08/09/2023,78.14,78.73,77.88,78.30,78.30,"2,039,000"
07/09/2023,78.15,78.50,77.44,77.95,77.95,"2,671,400"
06/09/2023,77.60,78.77,77.42,78.52,78.52,"3,159,800"
05/09/2023,78.07,78.78,77.39,77.76,77.76,"4,782,200"
01/09/2023,76.00,76.94,75.94,76.92,76.92,"4,205,600"
31/08/2023,74.48,75.18,73.95,75.06,75.06,"2,900,700"
30/08/2023,73.73,74.01,73.06,73.66,73.66,"2,228,100"
29/08/2023,72.66,73.35,71.79,73.32,73.32,"2,890,400"
28/08/2023,72.40,73.13,72.11,72.41,72.41,"1,618,700"
25/08/2023,72.62,72.66,70.82,72.45,72.45,"3,106,000"
24/08/2023,70.88,71.73,70.45,71.41,71.41,"2,368,700"
23/08/2023,70.80,72.00,70.43,71.36,71.36,"3,836,900"
22/08/2023,72.76,72.87,72.06,72.28,72.28,"1,656,100"
21/08/2023,73.42,73.51,72.42,72.58,72.58,"2,085,600"
18/08/2023,72.18,73.06,71.91,72.79,72.79,"2,734,000"
17/08/2023,72.57,72.82,71.92,71.98,71.98,"2,647,600"
16/08/2023,72.90,73.15,71.29,71.37,71.37,"3,789,600"
15/08/2023,73.25,73.26,72.18,72.62,72.62,"3,907,500"
14/08/2023,73.69,74.22,73.35,73.81,73.81,"3,545,400"
11/08/2023,74.14,74.81,73.95,74.25,74.25,"3,136,500"
10/08/2023,74.66,75.09,73.96,74.20,74.20,"3,443,900"
09/08/2023,74.78,75.36,74.21,75.10,75.10,"4,777,100"
08/08/2023,72.47,74.27,72.04,74.06,74.06,"4,218,700"
07/08/2023,73.76,73.87,73.04,73.82,73.82,"1,858,800"
04/08/2023,73.22,74.29,72.94,73.79,73.79,"2,016,600"
03/08/2023,71.70,73.25,71.70,73.14,73.14,"2,921,700"
02/08/2023,72.67,72.74,70.88,71.48,71.48,"3,170,000"
01/08/2023,72.68,73.19,72.17,72.96,72.96,"1,480,900"
31/07/2023,72.75,73.29,72.56,73.17,73.17,"2,068,900"
